disbursed_amount,asset_cost,branch_id,Employment.Type,DisbursalDate,State_ID,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PRI.NO.OF.ACCTS,PRI.CURRENT.BALANCE,SEC.NO.OF.ACCTS,PRIMARY.INSTAL.AMT,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES,loan_default,Age,marital status
53278,61360,67,Self employed,01/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,39,Married
46349,61500,67,Salaried,23/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,37,Married
64769,74190,67,Salaried,03/09/2018,6,0,0,786,3,676,0,0,0,2yrs 3mon,1,0,40,Married
47549,61400,67,Salaried,22/10/2018,6,0,0,17,1,0,0,7900,0,0yrs 1mon,0,1,31,Married
43594,78256,67,Self employed,08/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,31,Married
54513,61900,67,Self employed,17/09/2018,6,0,0,738,1,6690,0,1700,0,1yrs 3mon,0,0,46,Married
55213,68600,67,Salaried,18/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,39,Married
57513,65750,67,Self employed,23/10/2018,6,0,0,615,1,0,0,0,0,3yrs 1mon,1,1,52,Married
50678,58300,67,Self employed,14/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,48,Married
53078,64280,67,Self employed,17/10/2018,6,0,0,610,1,0,0,2111,0,0yrs 4mon,1,1,31,Married
64282,74290,67,Salaried,15/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,35,Married
68082,79806,67,Salaried,31/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,35,Married
48349,67650,67,Salaried,10/10/2018,6,0,0,15,1,155000,0,0,0,0yrs 0mon,1,0,32,Married
50475,62413,78,Salaried,07/09/2018,4,0,0,762,3,2412,0,0,0,1yrs 5mon,0,0,30,Single
48500,59313,78,Salaried,24/08/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,?,Single
48693,62577,78,Salaried,29/09/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,49,Single
42874,63840,78,Salaried,05/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,30,Single
47773,63306,78,Salaried,22/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,55,Single
48468,60410,78,Salaried,12/08/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,47,Single
52508,66246,78,Salaried,12/09/2018,4,0,0,300,36,327845,0,40747,1,7yrs 5mon,0,0,50,Single
40884,59313,78,,18/09/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,27,Single
51428,63306,78,Salaried,30/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,42,Single
51428,63306,78,Self employed,25/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,1,47,Single
42969,63840,78,Salaried,22/10/2018,4,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,36,Single
51078,65368,34,Self employed,15/09/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,1,0,39,Married
40094,61865,34,Self employed,30/08/2018,6,0,0,650,9,20196,0,0,1,11yrs 0mon,0,0,50,Married
47049,65215,34,Salaried,06/09/2018,6,0,0,763,2,5420,0,3847,0,1yrs 4mon,4,0,39,Married
49049,64217,34,Self employed,01/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,43,Married
51003,65687,34,Self employed,22/10/2018,6,0,0,738,2,13163,0,0,0,0yrs 3mon,0,0,44,Married
47049,61865,34,Self employed,24/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,44,Married
53503,101625,34,Self employed,26/09/2018,6,0,0,676,9,651451,0,18534,1,7yrs 4mon,0,0,39,Married
44449,72375,34,Self employed,21/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,?,Married
53403,67675,34,Salaried,29/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,32,Married
53403,69542,34,Self employed,23/09/2018,6,0,0,746,2,1417805,0,0,0,2yrs 2mon,0,0,54,Married
49349,65687,34,Salaried,24/10/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,39,Married
54303,64729,34,Salaried,29/08/2018,6,0,0,573,2,0,0,4542,0,1yrs 2mon,1,0,31,Married
51303,61865,34,Self employed,30/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,52,Married
43394,66068,34,Salaried,31/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,37,Married
40394,61865,34,Salaried,17/08/2018,6,0,0,0,0,0,0,0,0,0yrs 0mon,0,0,30,Married
50003,63749,34,Salaried,18/08/2018,6,0,0,763,1,0,0,0,0,0yrs 11mon,0,0,41,Married
55259,70563,34,Salaried,26/10/2018,6,0,0,825,2,0,0,0,0,1yrs 0mon,0,0,47,Married
